"title","asin","vpi","brand","categoryLabel","parentCategory","glanceViews","priorGlanceViews","orderedRevenue","priorOrderedRevenue","orderedUnits","priorOrderedUnits","avgPrice","unitsPerGlanceViews","conversionRate","priorConversionRate"
"Finocam Capri Agenda 16 Mesi 2026 2027 | Layout Settimanale Orizzontale · Settembre 2026 - Dicembre 2027 | Happy · Internazionale - Agenda settimanale","B0GJT1MPDL","627320327","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","2053","0","307.47","0.00","25","0","12.30","0","1.2","0"
"Aps SERVIER/Trasporto Macchina Circa 108 x 50 cm, Altezza 96 cm in Polipropilene, Colore Grigio Alluminio, 3 Ripiani","B005NYMXPI","11945","APS","32809430","32809400","19","17","223.86","0.00","2","0","111.93","0","10.5","0"
"APS Vaso portaoggetti classico, contenitore in vetro di alta qualità da 0,9 l, mantiene i tuoi prodotti freschi attraverso il coperchio in vetro con contenitore di tenuta","B07W738MXS","82250","APS","Altro","32809400","192","498","215.14","156.51","18","17","11.95","0","9.4","3.4"
"Vaso di conservazione APS""Classic"" - in vetro di alta qualità con una capacità di 2,0 litri - il coperchio con guarnizione mantiene i vostri prodotti freschi","B07W86HWQ2","82251","APS","Altro","32809400","76","255","161.66","420.43","7","19","23.09","0","9.2","7.5"
"APS misurino Circa Diametro 12 cm, Altezza 17 cm Circa 1L, Polipropilene (PP) Maniglia Chiusa, Goffrato Mass skalierung","B004LO9F1G","30047","APS","32809430","32809400","133","113","145.52","108.48","17","14","8.56","0","12.8","12.4"
"Finocam Mara Agenda 18 Mesi 2026 2027 | Layout Settimanale Verticale · Luglio 2026 - Dicembre 2027 | Pretty · Internazionale - Agenda settimanale","B0GJTBHR9G","636300927","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","459","0","143.40","0.00","10","0","14.34","0","2.2","0"
"Finocam Mara Agenda 18 Mesi 2026 2027 | Layout Settimanale Verticale · Luglio 2026 - Dicembre 2027 | Girl · Internazionale - Agenda settimanale","B0GJT5X8Y8","636300527","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","725","0","129.06","0.00","9","0","14.34","0","1.2","0"
"Finocam Dotted Agenda 16 Mesi 2026 2027 | Layout Settimanale Orizzontale · Settembre 2026 - Dicembre 2027 | Gala · Internazionale - Agenda settimanale","B0GJSTYCBJ","626900627","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","809","0","114.30","0.00","9","0","12.70","0","1.1","0"
"Finocam Capri Agenda 16 Mesi 2026 2027 | Layout Settimanale Orizzontale · Settembre 2026 - Dicembre 2027 | Power · Internazionale - Agenda settimanale","B0GJSTVNYG","627320527","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","710","0","86.10","0.00","7","0","12.30","0","1","0"
"Finocam - Rubrica alfabetica a doppia spirale con chiusura a elastico | 48 fogli | Rubrica A5 alfabetica a doppia spirale - colore Nero","B07P6G6T1T","8511660","finocam","Blocchi appunti, taccuini e diari","Archivio ufficio e accessori per scrivania","89","55","84.86","9.43","9","1","9.43","0","10.1","1.8"
