"title","asin","vpi","brand","categoryLabel","parentCategory","glanceViews","priorGlanceViews","buyBoxPercentage","priorBuyBoxPercentage","orderedRevenue","priorOrderedRevenue","orderedUnits","priorOrderedUnits","avgPrice","unitsPerGlanceViews","conversionRate","priorConversionRate"
"Finocam – Agenda Ikon 16 mois 2025-2026 1 jour par page Septembre 2025-Décembre 2026 (16 mois) Noir International","B0DV5RCDVW","B0DV5RCDVW","Finocam","Agendas civils et carnets de RDV","Fournitures de bureau","9","0","100","0","34.71","0.00","1","0","34.71","0","11.1","0"
"Finocam – Agenda Minimal 18 mois 2025-2026 Semaine sur 2 pages Présentation Horizontale Juillet 2025-Décembre 2026 (18 mois) Girl International","B0DV5S5HYM","B0DV5S5HYM","Finocam","Agendas civils et carnets de RDV","Fournitures de bureau","56","0","100","0","24.84","0.00","2","0","12.42","0","3.6","0"
"Finocam – Agenda Capri 16 mois 2025-2026 Semaine sur 2 pages Présentation Horizontale Septembre 2025-Décembre 2026 (16 mois) Happy International","B0DV5SGMH3","B0DV5SGMH3","Finocam","Agendas civils et carnets de RDV","Fournitures de bureau","56","0","100","0","24.80","0.00","2","0","12.40","0","3.6","0"
"Finocam – Agenda Ikon 16 mois 2025-2026 Semaine sur 2 pages Présentation Verticale Septembre 2025-Décembre 2026 (16 mois) Noir International","B0DV5S4BWK","B0DV5S4BWK","Finocam","Agendas civils et carnets de RDV","Fournitures de bureau","9","0","100","0","21.49","0.00","1","0","21.49","0","11.1","0"
"Finocam – Agenda Mara 18 mois 2025-2026 Semaine sur 2 pages Présentation Verticale Juillet 2025-Décembre 2026 (18 mois) Noir International","B0DV5RGYLC","B0DV5RGYLC","Finocam","Agendas civils et carnets de RDV","Fournitures de bureau","16","0","100","0","14.05","0.00","1","0","14.05","0","6.3","0"
"Finocam – Agenda Mara 18 mois 2025-2026 Semaine sur 2 pages Présentation Verticale Juillet 2025-Décembre 2026 (18 mois) Daisy International","B0DV5S6TBB","B0DV5S6TBB","Finocam","Agendas civils et carnets de RDV","Fournitures de bureau","19","0","100","0","14.05","0.00","1","0","14.05","0","5.3","0"
"Finocam – Agenda Mara 18 mois 2025-2026 Semaine sur 2 pages Présentation Verticale Juillet 2025-Décembre 2026 (18 mois) Girl International","B0DV5SF8F5","B0DV5SF8F5","Finocam","Agendas civils et carnets de RDV","Fournitures de bureau","89","0","100","0","14.05","0.00","1","0","14.05","0","1.1","0"
"Finocam – Agenda Capri 16 mois 2025-2026 Semaine sur 2 pages Présentation Horizontale Septembre 2025-Décembre 2026 (16 mois) Noir International","B0DV5T5WD5","B0DV5T5WD5","Finocam","Agendas civils et carnets de RDV","Fournitures de bureau","11","0","100","0","12.40","0.00","1","0","12.40","0","9.1","0"
"Finocam – Agenda Spirale 18 mois 2025-2026 Semaine sur 2 pages Présentation Horizontale Juillet 2025-Décembre 2026 (18 mois) Girl International","B0DV5T8Q5W","B0DV5T8Q5W","Finocam","Agendas civils et carnets de RDV","Fournitures de bureau","80","0","100","0","11.57","0.00","1","0","11.57","0","1.3","0"
"Finocam – Agenda Spirale 18 mois 2025-2026 Semaine sur 2 pages Présentation Horizontale Juillet 2025-Décembre 2026 (18 mois) Pretty International","B0DV5XDTVN","B0DV5XDTVN","Finocam","Agendas civils et carnets de RDV","Fournitures de bureau","138","0","100","0","11.57","0.00","1","0","11.57","0","0.7","0"
"Finocam – Calendrier mural 2026 30 x 30 cm 1 Mois par page Janvier – Décembre 2026 + Sept.-Déc. 2025 (4 mois) réduits | Calendrier2026 | Images Paysages paradisiaques Français","B0FG362BSZ","B0FG362BSZ","Finocam","Calendriers, agendas & organiseurs - Organisateurs de bureau","22905000","74","0","100","0","9.50","0.00","1","0","9.50","0","1.4","0"
