"title","asin","vpi","brand","categoryLabel","parentCategory","glanceViews","priorGlanceViews","buyBoxPercentage","priorBuyBoxPercentage","orderedRevenue","priorOrderedRevenue","orderedUnits","priorOrderedUnits","avgPrice","unitsPerGlanceViews","conversionRate","priorConversionRate"
"Finocam Mara Daily Diary 18–Month | Daily Diary | Daisy","B0GJT2N36W","B0GJT2N36W","Finocam","Kalendarze biurkowe","22903000","20","0","100","0","82.93","0.00","1","0","82.93","0","5","0"
"Finocam Mara Weekly Diary 18–Month | Weekly Diary | Daisy","B0GJSVYR6D","B0GJSVYR6D","Finocam","Kalendarze biurkowe","22903000","1","0","100","0","60.47","0.00","1","0","60.47","0","100","0"
"Finocam Mara Weekly Diary 18–Month | Weekly Diary | Black","B0GJT4P82S","B0GJT4P82S","Finocam","Kalendarze biurkowe","22903000","21","0","100","0","60.47","0.00","1","0","60.47","0","4.8","0"
"Finocam Dotted Weekly Diary 16–Month | Gala","B0GJSTYCBJ","B0GJSTYCBJ","Finocam","Kalendarze biurkowe","22903000","11","0","100","0","53.56","0.00","1","0","53.56","0","9.1","0"
"Finocam Haiku Undated Monthly Planner | Monthly View | Blue · International - Planner","B0GJT1BW7Z","B0GJT1BW7Z","Finocam","Planery i organizery osobiste","Organizacja przestrzeni biurowej","3","0","100","0","27.64","0.00","1","0","27.64","0","33.3","0"
"Finocam - Planner 2026 Horizontal Week to View | January - December (12 months) | Annual Planner 2026 with elastic band | Double Spiral Hardcover Optimal - Emma - International","B0F9LCGBLL","B0F9LCGBLL","Finocam","Kalendarze","Organizacja przestrzeni biurowej","2","0","100","0","24.80","0.00","1","0","24.80","0","50","0"
"Finocam - Uniwersalny terminarz bez dat Mytime Każdy dzień na osobnej stronie Międzynarodowy","B0BS4996B7","B0BS4996B7","Finocam","Notatniki i zeszyty szkolne","22903000","2","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Notatnik Flexi Modern Dotted - W kropki Czarny","B0BS49LT52","B0BS49LT52","Finocam","Notatniki i zeszyty szkolne","22903000","0","0","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Universal Mytime Tydzień bez dat pionowy Międzynarodowy","B0BS49SS5T","B0BS49SS5T","Finocam","Notatniki i zeszyty szkolne","22903000","3","2","100","100","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Notatnik Flexi Modern Dotted - W kropki Niebieski","B0BS49WDNV","B0BS49WDNV","Finocam","Notatniki i zeszyty szkolne","22903000","0","0","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Notatnik Flexi Design Gładki Mountain","B0BS4B2816","B0BS4B2816","Finocam","Notatniki i zeszyty szkolne","22903000","0","0","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Notatnik Flexi Design Gładki Butterfly","B0BS4BZ9FG","B0BS4BZ9FG","Finocam","Notatniki i zeszyty szkolne","22903000","0","0","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Notatnik Flexi Modern Dotted - W kropki Czarny","B0BS4CN4T2","B0BS4CN4T2","Finocam","Notatniki i zeszyty szkolne","22903000","0","0","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Terminarz Capri 2025 Tydzień w Widoku Pionowym styczeń 2025 - grudzień 2025 (12 miesięcy) Czarny Międzynarodowy","B0D3F5R1Y4","B0D3F5R1Y4","Finocam","Kalendarze biurkowe","22903000","2","1","100","100","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Notatnik Modern Dotted - W kropki Czarny","B0D3F5X5NK","B0D3F5X5NK","Finocam","Kalendarze biurkowe","22903000","1","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Notatnik Modern Dotted - W kropki Czerwony","B0D3F63LGL","B0D3F63LGL","Finocam","Kalendarze biurkowe","22903000","1","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Notatnik Modern Dotted - W kropki Niebieski","B0D3F6J4QB","B0D3F6J4QB","Finocam","Kalendarze biurkowe","22903000","2","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Kalendarz Obrazy Biurkowy Międzynarodowy 2025 Widok Miesiąca styczeń 2025 - grudzień 2025 (12 miesięcy) Cats Międzynarodowy","B0D3F6V89X","B0D3F6V89X","Finocam","Kalendarze biurkowe","22903000","1","3","100","100","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Etui Zamek Opuncja Oliwkowy","B0DV5S3FFC","B0DV5S3FFC","Finocam","Kalendarze biurkowe","22903000","3","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Terminarz Mara 18 miesięcy 2025 2026 Tydzień w Widoku Pionowym lipiec 2025 - grudzień 2026 (18 miesięcy) Girl Międzynarodowy","B0DV5SF8F5","B0DV5SF8F5","Finocam","Kalendarze biurkowe","22903000","1","2","100","100","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Spiral Planner 2026 Vertical Week to View | January - December (12 months) | Annual Planner 2026 with elastic band | Double Spiral Hardcover Spiral - Alma - Black - International","B0F9LBHCHZ","B0F9LBHCHZ","Finocam","Kalendarze","Organizacja przestrzeni biurowej","0","0","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Planner Month to View 2026 Month to View January 2026 – December 2026 (12 months) Grey International","B0F9LBV1D3","B0F9LBV1D3","Finocam","Kalendarze","Organizacja przestrzeni biurowej","2","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Planner 2026 Horizontal Week to View | January - December (12 months) | B5 Annual Planner 2026 with elastic band | Double Spiral Hardcover Optimal - Emma - International","B0F9LC83P3","B0F9LC83P3","Finocam","Kalendarze","Organizacja przestrzeni biurowej","3","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Spiral Planner 2026 1 Day to View | January - December (12 months) | Annual Planner 2026 with elastic band | Double Spiral Hardcover Spiral Alma - Black - International","B0F9LCF6PR","B0F9LCF6PR","Finocam","Kalendarze","Organizacja przestrzeni biurowej","0","0","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Spiral Planner 2026 1 Day to View | January - December (12 months) | Annual Planner 2026 with elastic band | Double Spiral Hardcover Spiral Alma - Blue - International","B0F9LF68KF","B0F9LF68KF","Finocam","Kalendarze","Organizacja przestrzeni biurowej","0","0","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Wall Calendar 2026 18x18 cm Month to View January, December 2026 + Sep- Dec 2025 (4 months) reduced, Images Amsterdam, International","B0F9LF6G3W","B0F9LF6G3W","Finocam","Kalendarze","Organizacja przestrzeni biurowej","0","0","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Planner 2026 Vertical Week to View | January - December (12 months) | A5 Planner with elastic band and knitted tape | Softcover Capri - Happy - International","B0F9LFFG99","B0F9LFFG99","Finocam","Kalendarze","Organizacja przestrzeni biurowej","1","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Spiral Planner 2026 1 Day to View | January - December (12 months) | Annual Planner 2026 with elastic band | Double Spiral Hardcover You - Wheat - International","B0F9LFGYPR","B0F9LFGYPR","Finocam","Kalendarze","Organizacja przestrzeni biurowej","1","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Diary Planner + Notes Week to View 2026 Week View + Notes January 2026 – December 2026 (12 months) Grey International","B0F9LFWG1M","B0F9LFWG1M","Finocam","Kalendarze","Organizacja przestrzeni biurowej","1","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Desktop Calendar 2026 Month to View January, December 2026 + Sep-Dec 2025 (4 months) reduced, Images Nature, International","B0F9LGMHYG","B0F9LGMHYG","Finocam","Kalendarze","Organizacja przestrzeni biurowej","2","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Haiku Undated Monthly Planner | Monthly View | Green · International - Planner","B0GJSPQWGQ","B0GJSPQWGQ","Finocam","Planery i organizery osobiste","Organizacja przestrzeni biurowej","0","0","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Ikon Weekly Diary 16–Month | Black","B0GJSPSHJ7","B0GJSPSHJ7","Finocam","Kalendarze biurkowe","22903000","4","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
